"RT @_alice_evans: ""The Decline of the Male Breadwinner and Persistence of the Female Carer""
[Just published!]
https://t.co/OL4pOmHhiC httpsÉ?›";;;
Genetic approach could help identify side-effects at early stages of drug development https://t.co/taAZThQM4u 10.1126/scitranslmed.aad3744;;;
Researchers from @DeptofPhysics have developed a new way to make opal-like colours at scale https://t.co/eHXOmywoK4 https://t.co/i6gVB62b6w;;;
RT @IfMCambridge: Understanding #businessmodel #Innovation - What's new at the IfM - June https://t.co/G34RRRhYIJ #manufacturing https://t.É?›;;;
RT @cambridgelaw: Latest #EUask vid: John Spencer on what #EUreferendum might mean for enforcement of justice inside &amp; outside the UK: httpÉ?›;;
Sex &amp; the brain: fruitless research? @julia_gottwald on the differences &amp; similarities between male &amp; female brains https://t.co/mDvtPCb2Um
"RT @NakedScientists: We need our lovely listeners to vote, so that we might win the podcast awards! Please vote &amp; share: https://t.co/5gTtfÉ?›";;;
Accurate science or accessible science in the media: @kaboomscience asks why not both? https://t.co/lXacHb0tOm https://t.co/ympig5FnJL;;;
Genetic switch that turned moths black also colours butterflies https://t.co/RClCyhJ87Y https://t.co/Fa8lrY06q8;;;
RT @Jesus_outreach: If you're a year 12 and into archaeology or anthropology, have a look at this free summer school at @stjohnscam https:/É?›;;;
RT @BeCambridge: Are you an international student thinking about applying to @Cambridge_Uni?Find out about the application process. https:/É?›;;;
RT @cambridgelaw: In our next #EUreferendum video @ProfKAArmstrong returns to explain the process by which the UK might leave: https://t.coÉ?›;;;
The illiterate boy who became a maharaja: https://t.co/f2WCDsQxib https://t.co/4mK3YADtjZ;;;
RT @ElectoralCommUK: Only one week to go to get #EURefReady É?? sign up to our Thunderclap to help raise awareness: https://t.co/r7gEdwKbj0;;;
Grand designs: the role of the house in American film https://t.co/Nij9egmC76 https://t.co/4mAGUFRwRS;;;
RT @UCamArchaeology: Our Assyriology &amp; Egyptology day @britishmuseum in @Cambridge_Uni news Students see future in Egypt &amp; Mesopotamia httpÉ?›;
RT @Kentikelenis: The #IMF has not lived up to its own hype on #socialprotection; in @GdnDevelopment https://t.co/V6TciCKeuf based on httpsÉ?›;;
You say 'scone', I say 'scone'. We've called the whole thing off, finds new research https://t.co/HrPZNFDG7q https://t.co/5p7RMDSKnH;;;
Flexible hours 'controlled by management' damage home lives of low-paid workers https://t.co/3wCFAt01xi https://t.co/EKTXePzVcE;;;
Have we all started speaking like southerners? https://t.co/CBWUNWLDLc https://t.co/vTwvl05wli;;;
Competitive eating, meerkat-style https://t.co/Pyw4YsAF5e https://t.co/XKEsKuDzIt;;;
RT @gccitydeal: Here's a short video that explains the benefits of reducing #CambridgeCongestion https://t.co/W3kUxDCth7;;;
How does a bike stay upright? Surprisingly, itÉ??s all in the mind, says @hughhunt https://t.co/ZFboQxeIiF https://t.co/jb4iUZBY3z;;;
RT @gccitydeal: Plan to cut #CambridgeCongestion published É?? does not include congestion charging É?? report  https://t.co/chIU9B6ub1;;;
Venki Ramakrishnan on how #GM food is an important part of solving global food shortages: https://t.co/QUi4C5OJEE https://t.co/ckKxWqNq0A;;;
The man we love to hate: itÉ??s time to re-evaluate a controversial theorist https://t.co/UMG2vf7Z7V;;;
"RT @cisl_cambridge: Congratulations Dr Sara Saeed @DoctHERS! Prince
of Wales Prize Winner 2016#globalgoals #youngentrepreneurs https://t.coÉ?›";;;
RT @BeCambridge: There are still spaces available for the @Cambridge_Uni Open Days. Book your spot today. #CamOpenDays https://t.co/LM1t30mÉ?›;;;
In honour of Douglas Adams, @stjohnscam hid a towel in Google Street View. Can you find it? https://t.co/VGuWFP7V3S #TowelDay;;;
They've lived together over 100 million years, but both are now on the brink of extinction https://t.co/tkkyAQqkfz https://t.co/m2RgD2MkKt;;;
"RT @CUSUonline: Have you registered to vote in the EU Referendum?
Don't Let Others have your say: https://t.co/kPiOn3Ccxg https://t.co/lrmiÉ?›";;;
The media is fuelling rising hostility towards Muslims in Britain https://t.co/AqpbghCkdE https://t.co/pYf3xUtu1u;;;
How #Elvis got everyone all shook up about a pro-vaccine campaign in '50s USA #vaccineswork https://t.co/G5IIYIshFZ https://t.co/f7lvBbsXUM;;;
RT @kirstyjean: It's important to realise that no-one's academic career path runs smooth! https://t.co/conFHIdr0r;;;
